uid,Description,Collection Description,Panel,Product,Software,Organism,Cells or Nuclei,Preservation Method,Staining Method,Biomaterial Type,Donor Count,Development Stage,Instrument(s),Publication Date,Replicate,Assay,License,Tissue,Chemistry Version,Modality,Disease,Disease Details,Analysis Steps,Dataset Url,Probe Set,Sequencing Configuration,Sample ID at Source,Slide Area,Chemistry Details,Number of Genes Targeted,Transcriptome,Pipeline Version,Number of Spots,Mean Reads per Spot,Median Genes per Spot,Genes Detected,Microscope,Objective,Numerical Aperture,Camera,Exposure,Gain,Panel Type,Number of Target Genes,Number of Add-on Genes,Number of Cells,Median Transcripts per Cell,Region Area,Total Cell Area,lamin_link,local_uid,created_at,description
10tei,Human Colon Cancer (FFPE),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Human,unknown,FFPE,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Post-Xenium, Replicate 1",Visium,Creative Commons Attribution 4.0 International,colon,Visium CytAssist v2,RNA,adenocarcinoma,stage IIA,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard,Visium Human Transcriptome Probe Set v2.0,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome",V53M06-039,A1,Visium V5 Slide - FFPE v2,18085.0,GRCh38-2020-A,spaceranger-2.1.0,"6,518","22,524","1,974","18,049",,,,,,,,,,,,,,42r2kWnUjrS5N5j60000,10tei,2025-05-12 21:55:37.331142+00:00,"Human Colon Cancer (FFPE) (Post-Xenium, Replicate 1)"
10jfe,Human Colon Cancer (FFPE),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Human,unknown,FFPE,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Post-Xenium, Replicate 2",Visium,Creative Commons Attribution 4.0 International,colon,Visium CytAssist v2,RNA,adenocarcinoma,stage IIA,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard,Visium Human Transcriptome Probe Set v2.0,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome",V53M06-039,A1,Visium V5 Slide - FFPE v2,18085.0,GRCh38-2020-A,spaceranger-2.1.0,"6,352","31,135","3,016","18,057",,,,,,,,,,,,,,4LGaWiMGNdmI79Si0000,10jfe,2025-05-12 21:55:55.118433+00:00,"Human Colon Cancer (FFPE) (Post-Xenium, Replicate 2)"
10e5i,Human Colon Cancer (FFPE),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Human,unknown,FFPE,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Control, Replicate 1",Visium,Creative Commons Attribution 4.0 International,colon,Visium CytAssist v2,RNA,adenocarcinoma,stage IIA,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard,Visium Human Transcriptome Probe Set v2.0,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome",V53M06-039,A1,Visium V5 Slide - FFPE v2,18085.0,GRCh38-2020-A,spaceranger-2.1.0,"6,487","21,737","3,018","18,063",,,,,,,,,,,,,,LEmjbIthI5Ge9P640000,10e5i,2025-05-12 21:56:12.828651+00:00,"Human Colon Cancer (FFPE) (Control, Replicate 1)"
1065r,Human Colon Cancer (FFPE),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Human,unknown,FFPE,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Control, Replicate 2",Visium,Creative Commons Attribution 4.0 International,colon,Visium CytAssist v2,RNA,adenocarcinoma,stage IIA,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard,Visium Human Transcriptome Probe Set v2.0,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome",V53M06-039,A1,Visium V5 Slide - FFPE v2,18085.0,GRCh38-2020-A,spaceranger-2.1.0,"6,414","19,699","2,404","18,056",,,,,,,,,,,,,,4gQynuR0sN7FY8zx0000,1065r,2025-05-12 21:56:30.114443+00:00,"Human Colon Cancer (FFPE) (Control, Replicate 2)"
10caf,Mouse Brain (FF),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Mouse,unknown,Fresh Frozen,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Post-Xenium, Replicate 1",Visium,Creative Commons Attribution 4.0 International,brain,Visium CytAssist v2,RNA,,,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard,Visium Mouse Transcriptome Probe Set,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome",V52Y23-098,A1,Visium V5 Slide - FFPE v2,19465.0,mm10-2020-A,spaceranger-2.1.0,"5,303","43,657","5,696","18,564",,,,,,,,,,,,,,iKcTpKomkPuE1Zrj0000,10caf,2025-05-12 21:56:50.861008+00:00,"Mouse Brain (FF) (Post-Xenium, Replicate 1)"
105k3,Mouse Brain (FF),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Mouse,unknown,Fresh Frozen,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Post-Xenium, Replicate 2",Visium,Creative Commons Attribution 4.0 International,brain,Visium CytAssist v2,RNA,,,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard,Visium Mouse Transcriptome Probe Set,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome",V52Y23-098,A1,Visium V5 Slide - FFPE v2,19465.0,mm10-2020-A,spaceranger-2.1.0,"5,221","55,929","4,758","18,422",,,,,,,,,,,,,,L2mOcUoXkjYM0gJU0000,105k3,2025-05-12 21:57:11.145306+00:00,"Mouse Brain (FF) (Post-Xenium, Replicate 2)"
10ps4,Mouse Brain (FF),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Mouse,unknown,Fresh Frozen,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Control, Replicate 1",Visium,Creative Commons Attribution 4.0 International,brain,Visium CytAssist v2,RNA,,,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard,Visium Mouse Transcriptome Probe Set,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome",V52Y23-098,A1,Visium V5 Slide - FFPE v2,19465.0,mm10-2020-A,spaceranger-2.1.0,"5,254","42,778","6,451","16,998",,,,,,,,,,,,,,kxqX8mJjAzJh7RBD0000,10ps4,2025-05-12 21:57:32.030588+00:00,"Mouse Brain (FF) (Control, Replicate 1)"
10ha9,Mouse Brain (FF),Visium CytAssist Gene Expression of Post-Xenium vs Control,,Spatial Gene Expression,Space Ranger v2.1.0,Mouse,unknown,Fresh Frozen,,Specimen from Organism,1,unknown,Visium CytAssist,2023-10-05,"Control, Replicate 2",Visium,Creative Commons Attribution 4.0 International,brain,Visium CytAssist v2,RNA,,,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard,Visium Mouse Transcriptome Probe Set,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome",V52Y23-098,A1,Visium V5 Slide - FFPE v2,19465.0,mm10-2020-A,spaceranger-2.1.0,"5,324","45,562","6,210","16,959",,,,,,,,,,,,,,KjyJkF1DjsmcqUV20000,10ha9,2025-05-12 21:57:54.676898+00:00,"Mouse Brain (FF) (Control, Replicate 2)"
10jr4,"Human Tonsil Gene and Protein Expression, CytAssist 6.5 mm","Human Tonsil Gene and Protein Expression, CytAssist 6.5 mm",Visium CytAssist Gene and Protein Expression Library of Human Tonsil with Add-on Antibodies,CytAssist Spatial Gene and Protein Expression,Space Ranger v2.1.0,Human,unknown,FFPE,H&E,Specimen from Organism,1,unknown,Visium CytAssist,2023-08-24,,Visium,Creative Commons Attribution 4.0 International,tonsil,Visium CytAssist v2,RNA|protein,,,spaceranger count,https://10xgenomics.com/datasets/visium-cytassist-gene-and-protein-expression-library-of-human-tonsil-with-add-on-antibodies-h-e-6-5-mm-ffpe-2-standard,Visium Human Transcriptome Probe Set v2.0,"28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read2 (probe insert/antibody barcode), 10 bp i7 sample barcode and 10 bp i5 sample barcode",V43M23-019,D1,Visium V4 Slide - FFPE v2,18085.0,GRCh38-2020-A,spaceranger-2.1.0,"4,908","75,598","8,114","18,066",Olympus Slide Scanning Microscope,20X UPLXAPO Objective,0.8,Hamamatsu Orca FusionBT sCMOS,,,,,,,,,,FP0LvjxXqC8tKP8c0000,10jr4,2025-05-13 10:23:59.781291+00:00,"Human Tonsil Gene and Protein Expression, CytAssist 6.5 mm"
106s5,Mouse Brain,Preservation Method Comparison on Visium CytAssist 11 mm Capture Area,,Spatial Gene Expression,Space Ranger v2.1.0,Mouse,unknown,Fixed Frozen,H&E,Specimen from Organism,unknown,unknown,Visium CytAssist,2023-06-08,"Fixed Frozen Mouse Brain (Sagittal), Space Ranger v2.1.0",Visium,Creative Commons Attribution 4.0 International,brain,Visium CytAssist v2,RNA,healthy,,spaceranger count,https://10xgenomics.com/datasets/preservation-method-comparison-on-visium-cytassist-fixed-frozen-mouse-brain-sagittal-11-mm-capture-area-2-standard,Visium Mouse Transcriptome Probe Set,,V52B25-029,A,Visium V5 Slide - FFPE v2,19465.0,mm10-2020-A,spaceranger-2.1.0,"5,134","140,919","8,181","19,160",Olympus VS200 Slide Scanning Microscope,20x UPLXAPO Objective,0.8,VS-264C,500 µs,,,,,,,,,7Mlb1laYLpbxIuZ00000,106s5,2025-05-13 11:39:41.766011+00:00,"Mouse Brain (Fixed Frozen Mouse Brain (Sagittal), Space Ranger v2.1.0)"
